city;январь2020;февраль2020;март2020;апрель2020;май2020;июнь2020;июль2020;август2020;сентябрь2020;октябрь2020
Владимир;163;175;184;191;229;249;257;268;285;310
Гороховецкий р-н;4;4;4;4;4;4;4;5;6;6
Камешковский р-н;9;9;9;11;13;16;17;18;22;22
Киржачский р-н;26;26;26;26;29;29;36;37;38;42
Ковровский р-н;105;106;121;121;121;138;138;150;152;156
Кольчугинский р-н;61;64;64;71;71;75;77;78;78;83
Меленковский р-н;12;12;12;14;16;18;18;22;22;25
Муромский р-н и о. Муром;105;107;110;112;118;118;120;125;125;130
Петушинский р-н;208;265;265;265;266;266;266;266;275;276
Селивановский р-н;1;1;1;2;2;2;2;3;3;3
Собинский р-н;32;32;33;38;38;43;43;45;45;49
Судогодский р-н;37;37;37;45;46;50;53;59;59;59
Суздальский р-н;11;13;16;16;17;17;19;19;20;20
Юрьев-Польский р-н;35;35;35;37;37;38;41;41;41;45
ЗАТО Радужный;5;5;5;5;5;5;5;5;5;5
